jen,東菄鶇倲涷蝀凍鯟崠埬
syang,牀床疒
jang,莊妝裝
syang,常尚裳甞嘗鋿償徜
syang,霜鸘鷞孀驦騻蠰
syang,牆廧墻佯嬙檣薔蘠戕
cang,鏘瑲槍蹌蹡斨牄嶈搶
kwang,匡邼筐框恇劻洭軭眶
wang,王蚟彺
ang,央鴦殃鉠秧霙胦泱
gyang,強彊勥
cang,倀鼚
pang,芳妨淓
gwang,狂軖軭鵟
dang,唐啺煻糖糛堂坣棠搪蓎瑭餹篖螗螳塘碭鶶踼闛赯磄溏傏隚鎕橖榶
lang,郎蓈稂桹廊榔鋃硠浪蜋琅瑯狼欴踉莨艆駺躴筤閬哴
dang,當鐺簹襠璫檔儅蟷
cang,倉蒼鶬滄飡
gang,岡崗剛掆笐鋼綱亢犅堈牨苀魧迒
sang,桑桒喪
kang,康穅糠槺邟漮躿
hwang,荒肓衁鄺詤巟
hwang,黃皇瑝惶遑潢堭煌餭騜艎簧隍癀湟徨篁鱑蝗凰偟媓獚蟥韹葟趪
gwang,光灮洸桄胱垙輄橫恍茪僙侊
tang,湯簜鏜闛踼盪蝪鼞薚
pang,滂鎊霶雱磅
wang,汪尣尪洸
ang,鴦佒咉眏姎
hang,炕忼
hang,航筕桁行迒頏魧胻邟杭沆蚢肮苀抗吭
mang,茫吂汒恾忙朚邙芒杗蘉
jang,臧匨牂戕贓样
nang,囊蠰
bang,傍彷膀髈趽房旁篣螃騯
ang,卬枊昂
sang,藏
kwang,䯑
bang,幫縍鞤
geng,庚鶊更秔稉粳賡羹埂浭
keng,阬坑硎砊劥
meng,盲蝱鄳莔
hong,橫黌蝗鐄瑝喤鍠韹彋
beng,閍祊騯嗙
hong,諻謍嚝喤
gyong,觵觥侊
beng,彭澎膨蟚棚榜搒蒡篣騯憉輣
heng,脝悙亨
ceng,瞠橕樘竀
ceng,鎗鐺槍琤
seng,傖鬇崢
eng,霙鉠韺渶鶧英瑛媖楧
beng,磅恲亨澎
beng,平評苹枰泙坪胓蚲
geng,驚京荆麠麖鶁蟼
meng,明盟鳴
jeng,棖盯澄掁挰憕
jeng,趟
eng,榮蠑瑩揘嶸
beng,兵
heng,兄
keng,卿
syeng,生笙牲猩狌鉎甥鼪珄
geng,擎勍黥剠鯨檠樈葝
eng,迎
heng,行衡胻洐筕珩桁蘅
neng,鬤爻獰爻
geng,耕
keng,鏗銵鳽誙牼硻殸硜摼羥
meng,甍萌氓甿嫇蕄
beng,浜
heng,宏紘紭閎嶸嵤耾翃浤竑宖鈜吰彋
heng,莖牼
jeng,朾丁玎
eng,甖罌罃鶯嚶櫻嫈鸚譻鸎褮莖
seng,崢鬇埩鏳崝
ceng,琤錚凈噌
neng,儜薴鬡鑏嬣
beng,怦姘閛伻弸匉抨砰
heng,轟輷揈訇鍧渹
beng,繃絣拼
jeng,橙湞朾虰憕瞪
eng,泓謍宖
beng,輣棚弸庄
eng,娙俓
jeng,爭箏埩綪猙
ceng,清圊
syeng,情晴請夝
jeng,精氏菁鶄蜻晶鼱婧睛旌旍箐聙
eng,盈嬴瀛籯楹贏攍
eng,營鎣塋濴
eng,嬰瓔纓攖賏蘡
jeng,貞楨禎湞
ceng,檉偵赬竀蟶虰
syeng,成城誠宬郕筬盛珹
jeng,呈程酲珵裎
syeng,聲
jeng,征鯖鉦怔正鴊眐佂
keng,輕鑋
meng,名洺
leng,跉令
beng,并栟簈屏
keng,傾頃
syeng,餳
eng,縈褮嫈
geng,瓊璚煢焭瞏惸藑嬛赹憌
syeng,騂垶觪
geng,頸葝
heng,
ceng,青鶄鯖蜻靘靑
geng,經涇頸巠
heng,刑形邢桯鉶型陘侀硎娙鈃鋞
jeng,庭停鼮莛葶筳亭聤霆渟綎娗挺楟蜓廷
jeng,丁釘玎靪虰仃叮
heng,馨蛵
syeng,星曐腥胜鮏鯹醒鉎篂猩惺
peng,竮俜甹艵頩姘覮
leng,靈霛舲齡麢囹鴒蛉鈴霝醽苓櫺柃伶泠瓴拎刢玲聆竛蘦軨笭零孁令灵龗翎閝鹷昤駖蕶酃詅彾呤跉狑爧冷怜澪鏻秢獜岭魿紷砱阾羚姈
neng,寧寍鸋嚀聹
ceng,汀訂桯綎聽廳町艼鞓庁
meng,冥榠銘鄍溟螟猽蓂瞑嫇覭暝
beng,瓶缾蛢屏荓軿萍蓱竮郱洴箳
heng,熒褮螢滎
geng,扃駉駫坰冋絅
jeng,蒸烝篜脀
syeng,承丞
jeng,澂澄瞪憕懲
leng,陵淩夌綾凌蔆菱鯪崚掕祾
eng,膺應鷹
beng,凭馮憑淜
beng,冫冰掤
eng,蠅
syeng,繩譝憴鱦乗椉澠塍
syeng,升昇陞勝抍
neng,仍艿辸礽扔
geng,兢矜
jeng,徵癥
syeng,繒鄫驓橧竲嶒
eng,凝
heng,興嬹
ceng,稱爯偁
geng,殑
syeng,㱡
keng,硱
ceng,僜庱睖
syeng,磳
peng,砯
deng,登璒燈簦
leng,楞棱稜輘倰祾
seng,僧鬙
beng,崩
jeng,增憎磳曾矰罾熷竲橧譄
meng,瞢蕄
seng,層曾層
beng,朋堋鵬棚倗鬅
hong,弘鞃苰
gong,肱
hong,薨
neng,能
deng,騰滕縢幐螣藤謄儯鰧
heng,恒峘
geng,搄縆絙
teng,鼟膯
peng,漰堋
yu,尤腄疣肬沋郵訧
yu,憂優瀀麀櫌鄾怮嚘耰獶纋妋
lyu,劉留蒥勠摎鶹騮疁流飂飀瘤榴瑬旒瑠瀏鰡嵧鎦懰餾裗硫遛憀鏐
cu,秋秌鞧緧鞦湫鶖鰍楸萩蟗篍趥
yu,猷猶悠油由攸蕕浟冘輶蘨秞蚰蝣櫾楢斿游遊卣鮋抌揄舀偤邮繇囮庮
yu,牛
ju,遒鮂蝤啾逎揂揫湫
syu,酋遒崷鰌蝤
syu,脩修羞樇
cu,抽婤惆瘳妯
kyu,恘殳
cu,犫犨
ju,周州輖洲賙喌舟郮婤週
syu,讎鮋酬醻詶雔魗
nyu,柔鍒騥蝚蹂葇鞣鰇瑈腬鶔揉
syu,收
kyu,丘丠蓲蚯邱訄
pyu,秠衃肧紑醅
gyu,鳩朻鬮丩龜勼
byu,不哹紑鴀
syu,捜廋蒐獀犙
cu,搊篘醔謅
ju,鄒鄹郰騶齱陬緅菆棷箃黀
syu,愁
hyu,休貅鵂庥脙髤咻
syu,囚泅汓苬慒鮂
ju,儔檮躊幬裯疇紬綢稠燽薵籌鳥棸椆怞懤鮋菗
ju,輈盩啁譸侜調咮矪
gyu,裘仇叴厹求頄蛷逑球璆艽鼽莍賕殏梂朹俅脙馗絿扏銶毬犰訅釚捄肍訄
byu,浮哹桴枹罦琈粰罘涪芣蜉烰鉜艀棓掊
myu,謀雺眸牟侔矛鍪鞪麰堥劺蝥蟊鷚恈鴾蛑繆
how,侯矦帿鄇鍭銗猴糇翭翵餱喉篌鯸瘊葔骺睺
ow,謳嘔歐甌區漚鷗瞘櫙蓲醧剾鏂膒
now,羺獳
low,樓婁蔞僂艛耬髏膢廔剅摟嘍瞜螻簍鞻慺鷜褸遱謱
sow,涑鏉摗
kow,彄摳剾韝滱夠
how,齁
jow,緅陬棷掫
tow,偷鍮鋀媮
dow,頭投骰坄牏揄窬緰歈
ow,齵
gow,鉤溝褠韝緱篝冓枸句軥夠鴝
dow,兜侸吺篼剅郖
sow,鯫
bow,裒捊抔掊箁
cow,䜅
mow,呣
yu,幽泑呦怮
gyu,虯觩璆觓鷚蟉
byu,彪髟驫
lyu,鏐蟉
gyu,樛朻
byu,淲瀌
ju,稵
syu,犙
yu,聱
hyu,飍烋
myu,繆鷚
cim,侵駸浸綅
sim,尋鐔潯鱏樳鄩襑枔撏灊鬵
lim,林琳淋臨痳箖瀶霖
cim,琛棽綝郴賝
jim,斟針鍼箴葴瑊鱵
jim,沈沉莐霃湛枕鈂
jim,碪砧椹枮坫
sim,諶愖訦忱煁瘎
nim,任鵀恁壬紝銋
sim,深
im,淫霪婬蟫鷣冘撢阝鐔鱏
sim,心杺
im,愔
jim,祲梫兓埐綅
sim,鬵嶜梣埐鈂灊
nim,鵀
gim,琴捦擒黔禽芩檎鳹凜庈雂耹靲
kim,欽菳衾嶔顉
im,吟訡唫崟荶碞乑
him,歆廞嬜
gim,金今黅衿襟禁
im,音隂隌瘖霠喑
sim,森參蔘薓槮襳穼棽
sim,岑涔梣笒
jim,旡簪撍
cim,嵾參梫駸槮
cim,
dam,覃潭曇藫橝蟫譚燂壜鐔眈蕁
cam,參驂傪
nam,南男柟楠抩
am,諳媕庵腤菴馣嬜韽盦喑
ham,含涵筨梒函顄蜬頷鋡圅肣
lam,婪惏燣嵐葻啉
sam,蠶撏
jam,簪撍篸鐕
tam,探撢貪
dam,耽湛眈酖妉甔媅
kam,龕堪戡嵁撖
ham,馠谽唅
sam,毿蔘犙
gam,弇淦蜬
am,嵁
dam,談郯惔錟淡痰澹倓餤刂
gam,甘柑苷泔媣
dam,擔儋聸頕甔
sam,三參弎鬖
lam,藍襤籃懢儖蘫
kam,坩
tam,舑聃緂
sam,慙慚鏨
ham,酣甝魽煔炶
mam,姏
sam,
ham,蚶嬜歛憨
em,鹽塩閻壛阽檐簷櫩
lem,廉鐮鎌簾薕薟蘞匳籨獫蠊帘鬑覝
bem,砭
syem,銛暹枮綅韱襳纖憸孅彡
cem,籤臉鹼槧憸僉刂譣
jem,詹瞻占蟾噡厃
syem,棎撏蟾
syem,苫痁
cem,幨襜裧緂妗
nem,髯蚺呥柟蛅冉袡舑
nem,黏粘
em,炎
jem,霑沾
cem,覘
em,淹菴崦醃閹
kem,
em,
jem,尖殲瀸漸虃熸鑯鋟
syem,潛朁鬵灊燂螹
gem,箝鉗鉆黚拑黔羬鳹雂鍼鈐
em,懕猒饜嬮
syem,燅燖爓
syem,襳
jem,誗
gem,鍼
cem,添沾黇舚
jem,敁佔詀
jem,甜恬湉菾
lem,鬑薕熑溓濓燫
kem,謙
gem,兼縑鶼蒹鰜
hem,嫌稴
nem,鮎拈
hem,馦欦妗
ham,咸鹹醎函諴鰜稴椷輱
gyam,緘瑊玪尲黬
sam,攕摻檆杉櫼
am,淊黯
am,嵒黬羬麙碞
ham,妗
jam,詀鵮
nam,諵喃
sam,讒獑鏨饞毚欃攙儳酁
kyam,鵮嵁厱
ham,銜甉
sam,巉嶃劖艬鑱獑毚嚵
am,巖礹
cam,攙
sam,衫纔髟縿彡芟穇
gyam,監礛鑑
bam,
kyam,嵌
em,嚴
hem,杴蘞
em,醃腌
kem,厱
byom,凡帆氾颿柉
pyom,欠
dong,董蝀箽懂蕫
mong,蠓鸏濛朦曚懵
kong,孔倥
song,檧
tong,侗桶曈捅
jong,緫揔惣嵸蓯鬷猣翪偬
hong,澒鴻汞
ong,蓊滃暡郺勜塕
nong,
bong,琫菶俸
long,曨襱巃竉籠攏儱龓
hong,嗊
dong,動酮姛眮詷桶挏硐
bong,菶唪埲
jong,腫種踵歱喠
cong,寵埫
lyong,隴壠
ong,擁壅
nyong,宂穁辱氄軵搑
jong,重襱鮦
jong,冢塚
byong,奉唪
pyong,捧
yong,勇恿涌甬踊慂塎悀埇溶蛹傛俑
kyong,恐
syong,尰瘇
gyong,拱拲鞏蛬孒珙廾巩栱輁
syong,悚竦慫聳駷愯傱
hyong,洶詾兇
byong,覂
dong,湩
mong,
gyong,䅃
cong,喠
jong,
jong,
gyang,講港傋耩
bang,棒棓玤蚌蜯
ang,慃
mang,
hang,項缿
bang,
hang,傋
ji,紙帋只坻軹枳咫扺坁砥汦抧恀
si,是氏媞諟恀徥褆姼
mi,靡骳蘼
bi,彼卑柀佊
bi,被罷
hwi,毀燬檓毇譭烜
wi,委骫蜲
kwi,跪
gwi,詭垝陒攱觤恑蛫祪庪庋洈蟡姽桅佹
swi,髓嶲靃
lwi,絫累樏厽垒
gi,技妓徛伎錡
i,倚猗椅旖輢
gi,掎剞庋踦攲
ki,綺婍碕觭
i,螘蟻蛾錡礒齮艤檥轙羛
wi,蔿鄬儰薳寪
jwi,觜
nwi,蘂蕊甤繠
ci,此跐佌玼泚
ji,豸褫陊踶傂杝阤褆徥
si,徙壐璽
i,酏迆匜衪肔崺扡孈
li,邐峛
si,躧灑纚縰釃屣矖簁
bi,俾鞞箄髀崥
ni,爾尒邇
mi,渳弭濔瀰芈敉侎葞蝆
bi,婢庳
ci,侈姼鉹誃垑懘袳袲恀哆
si,弛豕阤
ji,紫訿訾啙跐茈呰
jwi,捶箠沝
cwi,揣
swi,
si,舓舐
ji,跐
pi,紴披
pi,諀庀疕仳吡
wi,芛撱
swi,惢
kwi,跬頍
ni,狔旎柅
wi,硊頠姽
gwi,跪
ci,褫
ji,
hi,
ki,企跂
swi,菙
gi,枳
ji,旨指恉厎砥茋
si,視眡眎
mi,美媺渼媄
bi,鄙啚娝痞
si,兕羠薙
gi,几麂机
ji,姊秭
bi,匕妣秕比沘枇朼疕髀
gwi,軌簋朹晷厬宄匭頯氿
wi,洧鮪痏
si,矢屎
ji,雉滍薙
si,死
bi,牝
li,履
syuy,水
lyuy,壘蜼猚櫐蘽轠鸓藟誄耒讄
gyuy,揆楑嫢湀
cuy,趡踓
ni,柅
gyuy,癸湀
bi,否痞圮仳殍
syuy,
pi,嚭秠疕
nyuy,蕊甤繠
yuy,唯蓶壝瀢孈踓
i,㱅
juy,濢噿嶉臎
ji,黹夂
ci,
ji,
hyuy,
gwi,䣀
gi,跽
kwi,巋蘬
ji,止畤沚洔茝趾址阯芷厎
si,市恃畤
ji,徵
hi,喜憙蟢
gi,紀己妀
i,以巳苡苢佁
si,似佀祀禩姒巳耜汜洍泤鈶
si,史使駛
ni,耳洱駬
li,里裏鯉悝李理娌俚
si,枲萆葸諰
si,始
ji,歭跱峙痔偫洔畤秲庤
ki,起邔杞屺玘芑
si,士仕柹戺
si,俟竢涘騃
ji,子仔虸耔秄梓杍
i,矣
i,擬儗薿孴譺
ci,齒紕
ci,恥祉褫
ci,欼
ji,滓笫胏
i,譩醷
ni,伱聻
mi,尾亹斖浘娓
i,扆偯庡僾靉
ki,豈
gi,蟣幾穖
pi,斐菲胐悱奜
bi,匪篚棐餥榧蜰蜚
wi,韙煒暐偉瑋葦椲韡媁愇鍏
gwi,鬼
hwi,虺虫卉
i,顗螘
hi,豨俙霼唏
wi,磈嵔
bi,膹橨蟦陫
o,語篽籞圉敔圄衙齬鋙禦蘌
lyo,吕膂旅祣穭梠儢侣郘絽
jo,佇竚芧苧紵杼羜宁眝
yo,與与歟予藇
jo,煑陼渚
nyo,汝肗茹
syo,暑鼠黍癙
co,杵處
jo,貯褚著詝
syo,諝胥稰醑湑糈楈
co,楮柠褚
nyo,女籹
hyo,許鄦
gyo,巨拒秬距炬粔虡鐻鉅苣駏詎歫
syo,所糈齭疋盨
co,楚礎齭齼憷濋
jo,阻俎
syo,齟鉏
syo,咀沮怚袓跙
o,
gyo,舉莒櫸筥弆柜
syo,敘緒藇序漵抒嶼鱮
kyo,去麮弆
syo,紓抒杼
syo,野墅
co,
jo,苴咀
u,麌俁噳
u,羽禹雨宇瑀祤栩鄅頨楀萭聥
syu,聚鄹
byu,甫脯斧頫俯府腑簠黼蜅莆俌父蚥鯆郙
myu,武舞儛嫵侮憮珷碔廡甒潕鵡膴瞴娬敄
byu,父輔腐滏蚥秿鬴釜
pyu,撫弣拊殕俌剖
ju,柱跓嵀
hyu,詡冔姁栩珝欨祤咻喣煦
syu,豎竪樹裋
yu,庾窳抌愈瘉貐楰斞
ju,主麈枓宔炷
u,傴噢迂
kyu,齲踽竘
ju,拄柱丶
nyu,乳擩醹
gyu,窶貗
syu,數籔
gyu,矩榘踽枸萭聥楀蒟椇
cu,取
lyu,縷僂褸簍嶁謱慺漊蔞
syu,䅡
syu,
mo,姥莽媽峔
to,土吐稌芏
do,杜靯肚荰土
lo,魯櫓滷虜擄樐艣鐪蓾鹵鏀
co,蔖
do,覩睹暏賭堵肚帾楮
go,古鼓鼔瞽股罟蠱估盬鈷羖詁牯賈夃沽焸^儿^コ
o,五午旿伍仵
bo,簿部
so,粗麆駔伹觕
jo,祖珇組蒩靻
ho,虎琥戽滸萀
o,隖塢鄔瑦溩
ko,苦
no,怒弩砮努
ho,戸楛扈怙鄠帍祜昈岵芐雇婟戽洿酤滬簄
po,普溥誧浦烳
bo,補譜圃
sey,薺鱭癠啙
ley,禮礼蠡澧醴鱧鱺欚盠劙豊欐
cey,體軆醍涕挮緹
pey,䫌
jey,濟癠夘
jey,邸底詆坻抵牴觝柢弤堤軧
jey,弟娣悌遞媞
ney,禰嬭苨瀰坭薾檷鑈
syey,洗洒
cey,泚玼緀皉
key,啓棨綮卟稽晵闙启
hey,徯謑涀匸
mey,米眯洣蔝
bey,陛梐髀
ey,䚷
ey,堄掜觬晲
bey,
hay,蟹獬澥嶰
may,買嘪蕒鷶
kyay,
jay,廌豸
nay,嬭
bay,罷矲猈
ay,矮躷
bay,擺捭
gyay,解薢檞
say,灑躧
gway,柺
jway,
hway,夥
hway,扮
gyay,箉拐
hay,駭絯侅駴
kyay,楷鍇
ay,騃娾
ay,挨唉
hway,賄悔蛕
way,猥腲嵔鍡碨
lway,磥磊癗礧鑘郲蕾儡頛櫑
dway,錞瀢陮
sway,辠罪
may,浼潣每挴燘
tway,骽腿聉僓脮
hway,瘣溾匯廆輠
kway,傀顝磈
dway,頧謉
nway,餧餒浽娞鮾脮
jway,
way,頠顡隗峞嵬
cway,皠漼璀鏙
bay,琲痱
jway,嶊洅
way,侑
hay,海醢橀
kay,愷凱颽塏暟鎧闓輆
jay,宰縡載
day,駘殆待怠迨紿詒軩
nay,乃迺鼐
gay,改頦絠
hay,亥侅
pay,啡
cay,采採綵寀彩
cay,茝
day,
may,挴
say,在
pay,俖朏
ay,欸毐挨
ay,佁
tay,㘆
nay,疓
lay,唻
ay,
bay,倍菩蓓
jin,軫縝胗疹畛賑鬒槇紾縝診袗裖敐眕黰駗稹
cin,辴
sin,腎蜃祳脤鋠
nin,忍荵涊
sin,矤矧訠哂弞頣
lin,嶙僯橉撛
jin,紖眹
gin,緊胗
sin,盡濜
jin,盡
bin,牝髕臏猵
in,釿磭齗听
cin,笉
gyun,窘僒莙箘菌蔨蜠
in,引蚓螾弞濥廴戭縯鈏靷
min,愍慜憫閔敏敃暋潣簢鰵
min,泯僶笢黽澠刡脗
yun,殞溳磒隕霣愪荺
jun,準准埻純
yun,尹允狁馻玧允
syun,筍笋鵻隼箰簨
nyun,蝡
cun,蠢踳惷偆僢
syun,盾循吮楯
cun,偆
lyun,耣
nyun,
kyun,
kin,螼
syun,賰
hin,脪
sin,濜
jin,屒
myun,吻刎抆伆勽
byun,粉黺扮
byun,憤扮鼢蚡墳魵鱝弅轒膹坋
pyun,忿魵
un,惲蕰藴韞緼褞賱醖揾
un,齳夽喗
un,抎
kyun,
in,隱磤櫽嶾乚
gin,謹槿堇漌慬巹菦
jin,
kin,赾
gin,近瘽
cin,齔
in,听
hin,
wan,阮邧
wan,遠
an,偃鶠郾褗堰匽鄢鼴蝘鰋
gyan,湕揵蹇
gyan,寋楗鍵
kyan,
an,巘屵
hyan,幰攇
man,晚娩挽輓脕
ban,反阪坂返橎
gwan,圈菌卷
wan,婉菀苑踠蜿畹琬宛惌倇夗晼睕
kwan,綣虇裷
hwan,暅咺烜愃諼
ban,飯軬笲
hon,混鯶渾緷焜倱棍睔掍睴煇
pon,翉
con,忖刌
bon,本畚笨苯
son,損
jon,撙噂譐僔
on,穩
don,囤盾沌坉庉遁遯
son,鱒
gon,衮緄鯀輥緷蓘惃丨錕
ton,畽吨黗
kon,閫壼稇裍悃梱齫硱
lon,惀睔碖
bon,獖笨体
mon,懣
non,㶧
hon,惛
hon,很
kon,墾懇齦豤
gon,詪
han,旱皔
dan,亶嬗笪疸觛狚担
tan,坦誕
san,散攵饊糤鏾繖傘攴
dan,但蜑袒襢潬繵膻僤觛
san,瓉趲禶
gan,笴簳皯稈秆仠矸衦
lan,嬾懶讕
kan,侃衎
han,蔊厂灘暵焊熯
jan,
hwan,緩澣浣綄梡棵鰀嵈晥
dwan,短斷
wan,椀盌
twan,疃瘓
swan,算匴篹
gwan,管筦脘輨盥琯痯悹錧
lwan,卵
kwan,款歀欵窾梡棵
nwan,煗暖煖餪渜稬
jwan,纂纉儧籫鄼繤
ban,伴拌
man,滿懣心鏋
ban,粄瓪昄
swan,鄹
dwan,斷緞
nan,攤
pan,坢
san,潸
wan,綰
ban,版板蝂瓪昄鈑
jan,拃
nan,赧戁
han,僩憪撊捍橌
hwan,睆睅鯇皖莞
ban,阪昄魬
man,矕
san,
an,
can,
ban,眅
swan,撰饌
san,産簅摌嵼汕滻産
han,限硍
an,
gyan,僩柬暕揀簡
can,剗鏟丳羼
san,棧嶘轏孱輚虥
an,眼
jan,醆琖盞
cwan,㦃産
kyan,齦
syen,銑洗跣毨姺燹箲筅
cen,腆痶圢淟町錪靦琠蚕賟晪
jen,典蕇頁錪
en,蝘躽宴嬿
jen,殄蜓跈
gen,繭絸蠒趼垷筧襺挸
hen,峴臔哯晛垷蜆俔顈睍詪嫢
hen,顯韅蜆抮
men,芇丏眄
nen,撚涊蹨跈
ben,編匾緶萹惼碥扁糄
hwen,泫鉉琄贙埍繯鞙
gwen,く畎詃埍罥羂汱
ben,辮艑扁
kwen,犬
ken,豤蜸
en,齞
syen,獮鮮尠尟癬燹廯蘚
en,演衍縯蔩戭
sen,踐諓餞俴
jen,展搌皽輾紾襢
jen,樿饘醆皽燀橏嫸
nen,趁
cen,淺
cen,闡燀繟幝灛嘽
ken,遣繾
gen,蹇謇搴攓藆
syen,善譱墠鱓蟺單僐鄯墡磰
jen,翦剪揃戩錢媊俴帴鬋籛
nen,蹨橪戁熯
syen,
len,輦璉鄻僆摙蓮膦
en,齴巘遃嵃讞甗
gen,件鍵鑳
ben,辯辡辨諞
men,緬沔汅湎愐黽偭勔
ben,褊
jwen,臇
swen,雋隽吮
ben,辡覵鴘
wen,兖沇抁萒馻
lwen,臠孌脟
jwen,轉
gwen,卷菤韏捲埢
gwen,圈蔨萒
nwen,輭軟蝡碝瑌愞腝耎偄緛
cwen,舛喘荈
swen,膞腨鄟歂踹
jwen,篆瑑沌摶堟
jwen,剸剬孨鱄竱膞
swen,選
swen,撰僎譔
gwen,蜎
hwen,蠉
ben,楩諞扁
men,免娩勉俛鮸冕絻
cen,搌蕆
pen,鴘
syen,
en,嫣
jen,邅
syen,棧
syaw,篠謏
gyaw,皎璬皦恔繳晈儌
jaw,鳥蔦釕扚
lyaw,了蓼瞭镽鄝繚憭爒撩
caw,朓窱
hyaw,曉皢膮
yaw,杳窅窈偠騕葽鴢婹苭
nyaw,嬲嫋褭嬈
hyaw,皛芍
jaw,窕誂掉嬥挑
kyaw,磽
jaw,湫劋
syaw,小
jaw,肈肁兆趙旐狣鮡駣垗
jaw,沼菬
yaw,夭殀芺仸
caw,巐
syaw,少
nyaw,擾繞遶嬈
baw,摽鰾慓顠膘
caw,麨弨楢眧
paw,縹醥犥顠皫篻瞟膘
myaw,眇渺訬淼杪秒藐吵篎
syaw,紹綤佋袑
gyaw,矯鱎敽撟嬌蟜譑孂蹻
baw,表
baw,褾標
baw,藨殍莩
yaw,鷕溔舀抭
caw,悄愀釥
jaw,勦漅膘
gyaw,
lyaw,繚燎璙憭爒僚嫽
paw,麃
yaw,闄
kyaw,巧
haw,澩佼
baw,飽
naw,撓獿
maw,卯戼緢泖媌昴茆
gyaw,絞狡佼攪筊鉸姣烄攵
jaw,爪瑵笊抓
aw,拗鴢乚狕
baw,鮑骲鞄
aw,齩
saw,
caw,煼炒謅吵
jaw,獠
saw,
haw,晧昊昦暭鎬浩顥灝鰝夰鄗滈
baw,抱
law,老獠轑橑潦栳澇
taw,討槄
daw,道衟寸稻駣
naw,匘腦刂惱碯
saw,嫂燥埽掃
daw,倒擣搗禂檮禱壔懤
caw,草艸懆慅騲愺
jaw,早澡藻薻蚤璪璅棗繰繅
saw,皁造艁
gaw,暠杲稾藳夰縞槀菒
haw,好
maw,蓩媢冃
baw,寶珤保堢堡褓緥鴇葆駂宲賲
aw,襖镺懊芺媪燠夭郩蝹
kaw,考栲槁祰洘燺丂薧
aw,
ga,哿舸笴
ca,瑳硰
da,嚲單哆癉
sa,縒娑褨
da,爹柁舵陊袉拕沱詑
a,我騀硪
ta,袉
la,斤攞砢曪斤剆斤石
na,橠娜袲
ha,荷何
ha,㰤㗿
ka,可岢軻坷
a,椏妸娿
ja,左
gwa,果菓猓輠鐹划裹蜾惈粿
dwa,埵鬌挆朵朶綞揣鍺
swa,鎖瑣溑葰阝惢
dwa,墮垛憜惰嫷鬌嶞
twa,妥媠隋墮橢鵎
ma,麼懡
swa,坐
wa,
lwa,裸躶@衣臝卵瘰蓏蠃
wa,婐倭
nwa,
ba,跛簸駊
pa,叵駊頗
hwa,禍夥輠
hwa,火邩
kwa,顆堁敤
ba,爸
cwa,脞
jwa,硰
ma,馬碼罵鷌鰢
ja,者赭堵
ya,野壄也冶虵
a,雅疋庌厊
gya,檟榎嘏假叚賈斝瘕椵婽
sa,灑
a,啞瘂
sya,灺抯
ha,下丅夏廈
sya,寫瀉
jwa,
mya,乜
ca,且
ha,閜襾
sya,社
kya,跒
ba,跁笆
sya,捨舎騇
ja,姐抯飷
ba,把
hwa,踝稞黊蘳觟輠
gwa,寡冎剮
wa,瓦邷
nya,若惹
ja,鮓厏謯痄
ja,觰
sa,槎厏
ca,奲哆撦
ja,
na,
kwa,髁跨骻銙
cwa,䂳
cwa,
swa,葰傻
ca,奼
la,藞
yang,養痒癢瀁蛘勨
syang,像象蟓橡襐勨鱌潒嶑
jang,獎槳蔣
lyang,兩脼緉蜽魎
ang,鞅柍秧詇岟駚炴怏紻
gyang,勥彊弜誩滰
ang,仰卬
cang,磢搶漺愴
syang,想鯗
jang,掌仉
syang,爽鷞塽樉漺
hyang,響饗蠁亯亨嚮曏
cang,敞氅廠僘
gyang,繦鏹襁膙憼
jang,丈杖仗
cang,昶鋹
gwang,獷
nyang,壤穰蠰攘躟
syang,賞饟曏
pang,髣彷仿紡鶭
mang,网網罔輞棢惘菵誷蛧魍
bang,昉倣放瓬
wang,枉攴欠汪
wang,往暀
hwang,怳
cang,搶摤
jang,長
syang,上丄
gwang,俇
gwang,臩迋逛
bang,
cang,傸
dang,蕩崵婸潒愓璗盪簜嵣
sang,顙磉
gwang,廣鄺
bang,榜牓螃蒡
jang,駔驡髒
nang,曩灢
hang,沆骯蚢吭
tang,曭儻偒戃矘帑爣攩
mang,莽茻壾蟒漭
dang,黨讜欓
lang,朗朖誏俍崀榔
ang,坱姎映泱咉醠盎駚軮
kang,慷忼骯懬
wang,瀇
hwang,晃幌櫎榥滉攩皝
pang,髈
hwang,慌爌
gang,
ang,
sang,奘
cang,蒼
hang,汻酐
kwang,懬爌
geng,梗挭哽郠綆鯁埂骾
beng,丙昞怲邴炳秉窉苪蛃
geng,警儆景境璥蟼憼
eng,影璟璄摬
syeng,省眚渻
eng,永栐
heng,
meng,皿
geng,憬囧煚璟臩暻
heng,杏莕荇
meng,猛蜢艋鱦鄳
gyong,礦鑛獷穬
beng,浜㑟
jeng,盯
jeng,瑒
ong,㴄奣
deng,打
leng,冷
hong,卝澋
beng,鮩
kyong,
neng,檸
geng,耿
meng,鼆黽
heng,幸倖
beng,蠯螷
beng,皏
syeng,靜睜靖妌婧穽阱猙
jeng,整
ceng,逞騁裎悜睈
eng,郢浧梬
geng,痙
eng,潁穎
leng,領嶺阾柃袊
geng,頸
beng,餅屏鉼併
keng,頃頁檾苘
jeng,丼
eng,廮癭
ceng,請睛
syeng,省渻睲惺
meng,眳慏
jeng,徎塣
heng,迥冋炯泂
geng,熲炅炯頁
meng,茗嫇酩瀴溟眳姳
